bins,dob_mm,no_mmorb,dob_tt
15:01-16:00,August,Survival,15293
15:01-16:00,December,Death,203
15:01-16:00,December,Survival,14285
15:01-16:00,February,Death,195
15:01-16:00,February,Survival,12604
15:01-16:00,January,Death,191
15:01-16:00,January,Survival,12996
15:01-16:00,July,Death,220
15:01-16:00,July,Survival,15036
15:01-16:00,June,Death,205
15:01-16:00,June,Survival,14491
15:01-16:00,March,Death,214
15:01-16:00,March,Survival,14249
15:01-16:00,May,Death,212
15:01-16:00,May,Survival,13827
15:01-16:00,November,Death,217
15:01-16:00,November,Survival,14147
15:01-16:00,October,Death,208
15:01-16:00,October,Survival,14643
15:01-16:00,September,Death,222
15:01-16:00,September,Survival,15076
16:01-17:00,April,Death,204
16:01-17:00,April,Survival,13986
16:01-17:00,August,Death,215
16:01-17:00,August,Survival,15557
16:01-17:00,December,Death,249
16:01-17:00,December,Survival,14634
16:01-17:00,February,Death,193
16:01-17:00,February,Survival,12600
16:01-17:00,January,Death,160
16:01-17:00,January,Survival,13162
16:01-17:00,July,Death,229
16:01-17:00,July,Survival,15430
16:01-17:00,June,Death,202
16:01-17:00,June,Survival,14867
16:01-17:00,March,Death,200
16:01-17:00,March,Survival,14415
16:01-17:00,May,Death,215
16:01-17:00,May,Survival,14315
16:01-17:00,November,Death,208
16:01-17:00,November,Survival,14037
16:01-17:00,October,Death,208
16:01-17:00,October,Survival,14761
16:01-17:00,September,Death,225
16:01-17:00,September,Survival,15399
17:01-18:00,April,Death,213
17:01-18:00,April,Survival,13983
17:01-18:00,August,Death,268
17:01-18:00,August,Survival,15254
17:01-18:00,December,Death,234
17:01-18:00,December,Survival,14639
17:01-18:00,February,Death,195
17:01-18:00,February,Survival,12614
17:01-18:00,January,Death,193
17:01-18:00,January,Survival,13373
17:01-18:00,July,Death,252
17:01-18:00,July,Survival,15443
17:01-18:00,June,Death,210
17:01-18:00,June,Survival,14894
17:01-18:00,March,Death,218
17:01-18:00,March,Survival,14482
17:01-18:00,May,Death,218
17:01-18:00,May,Survival,13846
17:01-18:00,November,Death,198
17:01-18:00,November,Survival,14196
17:01-18:00,October,Death,206
17:01-18:00,October,Survival,14707
17:01-18:00,September,Death,225
17:01-18:00,September,Survival,15225
18:01-19:00,April,Death,205
18:01-19:00,April,Survival,12719
18:01-19:00,August,Death,187
18:01-19:00,August,Survival,14239
18:01-19:00,December,Death,241
18:01-19:00,December,Survival,13437
18:01-19:00,February,Death,175
18:01-19:00,February,Survival,11520
18:01-19:00,January,Death,163
18:01-19:00,January,Survival,11733
18:01-19:00,July,Death,217
18:01-19:00,July,Survival,14253
18:01-19:00,June,Death,220
18:01-19:00,June,Survival,13640
18:01-19:00,March,Death,213
18:01-19:00,March,Survival,13068
18:01-19:00,May,Death,216
18:01-19:00,May,Survival,12941
18:01-19:00,November,Death,193
18:01-19:00,November,Survival,12998
18:01-19:00,October,Death,210
18:01-19:00,October,Survival,13325
18:01-19:00,September,Death,214
18:01-19:00,September,Survival,14078
19:01-20:00,April,Death,192
19:01-20:00,April,Survival,11072
19:01-20:00,August,Death,192
19:01-20:00,August,Survival,12560
19:01-20:00,December,Death,182
19:01-20:00,December,Survival,11668
19:01-20:00,February,Death,161
19:01-20:00,February,Survival,10218
19:01-20:00,January,Death,164
19:01-20:00,January,Survival,10507
19:01-20:00,July,Death,208
19:01-20:00,July,Survival,12301
19:01-20:00,June,Death,193
19:01-20:00,June,Survival,11822
19:01-20:00,March,Death,181
19:01-20:00,March,Survival,11380
19:01-20:00,May,Death,169
19:01-20:00,May,Survival,11386
19:01-20:00,November,Death,166
19:01-20:00,November,Survival,11264
19:01-20:00,October,Death,160
19:01-20:00,October,Survival,11943
19:01-20:00,September,Death,192
19:01-20:00,September,Survival,12313
20:01-21:00,April,Death,197
20:01-21:00,April,Survival,11360
20:01-21:00,August,Death,172
20:01-21:00,August,Survival,12979
